id,name
DAC_F/TV 1,DAC_Introduction to Cinematic Arts (4.00)
SBCC_CHST 101,SBCC_Mexican-American (Chicano) History in the U.S. (3.00)
UCD_ITA 008A,UCD_Italian Conversation (3.00)
CANADA_ART 205,CANADA_Drawing II (3.00)
GMCC_PHYC 240,GMCC_Electricity. Magnetism and Heat (4.00)
UCR_ANTH 7,UCR_Introduction to Linguistic Anthropology (4.00)
MONTEREY_THEA 7B,MONTEREY_Writing for the Theatre II (3.00)
BUTTE_BUS 20,BUTTE_Introduction to Business (3.00)
FULLRTON_THEA 284 F,FULLRTON_Intermediate Musical Theatre I (3.00)
SHASTA_AGEH 33,SHASTA_Environmental Horticulture (3.00)
ARC_PSYC 356,ARC_Human Sexuality (3.00)
SCC_CISP 400,SCC_Object Oriented Programming with C++ (4.00)
EVERGRN_MATH 071,EVERGRN_Calculus I with Analytic Geometry (5.00)
SBCC_GER 103,SBCC_Intermediate German I (5.00)
YUBA_COMSC 12,YUBA_JAVA Programming (3.00)
UCI_SOC SCI 5D,UCI_U.S. and World Geography (4.00)
PASADENA_ENGL 058,PASADENA_Queer Studies in Literature (3.00)
EVERGRN_PHYS 004A,EVERGRN_General Physics (5.00)
FEATHER_SOC 160,FEATHER_Globalization (3.00)
SBCC_ERTH 151,SBCC_Introductory Physical Oceanography (3.00)
TAHOE_HIS 105,TAHOE_Modern California History (4.00)
MIRAMAR_CHIC 110A,MIRAMAR_Introduction to Chicana and Chicano Studies (3.00)
GAVILAN_PHIL 9,GAVILAN_Philosophy of Religion (3.00)
MATEO_CIS 278,MATEO_(CS1)Programming Methods I: C++ (4.00)
BUTTE_GEOG 8,BUTTE_World Regional Geography (3.00)
SOLANO_MATH 031,SOLANO_Business Calculus II (3.00)
LACC_MUSIC 136,LACC_Music in American Culture (3.00)
SCC_GEOL 310,SCC_Historical Geology (3.00)
SKYLINE_SOCI 129,SKYLINE_Introduction to Research Methods (3.00)
YUBA_ANTHR 3,YUBA_Introduction to Archaeology (3.00)
UCB_LD ARCH 12,UCB_Environmental Science for Sustainable Development (4.00)
UCM_CSE 019,UCM_Introduction to Computing (4.00)
WCC_ENGL 30A,WCC_Introduction to American Literature. I (3.00)
OCC_ETHS A190,OCC_The Ethnic Family (3.00)
AVC_HIST 114,AVC_History of California (3.00)
DIABLO_DANCE 164A,DIABLO_Ballroom/Social Dance I (1.00)
UCLA_ENGL 10B,UCLA_Literatures in English. 1700 to 1850 (5.00)
DIABLO_ENGL 163,DIABLO_Asian American Literature (3.00)
MVC_MAT 32,MVC_Introduction to Symbolic Logic (3.00)
UCB_ICELAND 1B,UCB_Beginning Icelandic II (4.00)
PALOMAR_ART 103,PALOMAR_Intermediate Drawing (3.00)
SWSTRN_CIS 153,SWSTRN_Internet Programming using JAVA/J++ (4.00)
CERRO_PHIL C101,CERRO_Introduction to Philosophy (3.00)
IRVINE_TA 29H,IRVINE_Script Analysis: Honors (3.00)
MTSJC_ANTH- 111,MTSJC_Physical Anthropology Lab (1.00)
CONTRA_BIOSC 110,CONTRA_Introduction to Biological Sciences (4.00)
FOLSOM_ENGLT 303,FOLSOM_Introduction to the Short Story (3.00)
NORCO_ANT 8,NORCO_Language and Culture (3.00)
MIRAMAR_PHIL 205,MIRAMAR_Critical Thinking and Writing in Philosophy (3.00)
COLUMBIA_ART 15,COLUMBIA_History of Graphic Design (3.00)
COLUMBIA_SPAN 1B,COLUMBIA_Spanish: Beginning (5.00)
DAC_COMM 16H,DAC_Interpersonal Communication - HONORS (5.00)
DAC_ADMJ 25,DAC_Law and Social Change (4.00)
PASADENA_MUSC 002C,PASADENA_Musicianship III (1.00)
ARC_ENGLT 321,ARC_American Literature II (3.00)
OHLONE_ENVS 108,OHLONE_Introduction to the Environment (3.00)
DAC_MET 10,DAC_Weather and Climate Processes (5.00)
MOORPARK_ANTH M01L,MOORPARK_Biological Anthropology Lab (1.00)
BUTTE_CHEM 11,BUTTE_Introduction to Chemistry (4.00)
MATEO_FILM 145,MATEO_Watching Quality Television (4.00)
CANYONS_ANTHRO 101,CANYONS_Physical Anthropology (3.00)
UCB_POLISH 25B,UCB_Introductory Polish (5.00)
SBVC_BUSAD 210,SBVC_Business Law (3.00)
AVC_ART 210,AVC_Drawing III (3.00)
YUBA_ECON 1B,YUBA_Elementary Economics - Micro (3.00)
RCC_HUM 4H,RCC_Honors Arts and Ideas: Ancient World through the Late Medieval Period (3.00)
SBCC_SOC 107,SBCC_Racism in America (3.00)
SFCITY_AFAM 42,SFCITY_The Origins and History of Race Theory and Modern Racism (3.00)
LAPC_ENGLISH 103,LAPC_Composition and Critical Thinking (3.00)
PALOMAR_RS 110,PALOMAR_Religion in America (3.00)
UCI_UPPP 40,UCI_Urban Sociology (4.00)
CYPRESS_THEA 146 C,CYPRESS_Scene Painting (3.00)
NORCO_BIO 61,NORCO_Introduction to Organismal and Population Biology (5.00)
COMPTON_ENGL 103H,COMPTON_Honors Critical Thinking and Composition (3.00)
IRVINE_ART 51,IRVINE_Intermediate Painting (3.00)
GMCC_HIST 100,GMCC_Early World History (3.00)
ARC_SOC 480,ARC_Introductory Sociology - Honors (3.00)
FOOTHILL_HIST 20,FOOTHILL_History of Russia & the Soviet Union (4.00)
FRESNO_ASAMER 55,FRESNO_Introduction to Asian Art (3.00)
MCC_GEOL 2,MCC_Historical Geology (3.00)
SISKIYOU_BIO 1500,SISKIYOU_Human Biology (3.00)
SDCC_ARTF 151,SDCC_Three-Dimensional Design (3.00)
WHC_GEOG 003,WHC_Cultural Geography (3.00)
MESA_MUSI 268B,MESA_Ear Training II (1.00)
UCLA_RELIGN M60D,UCLA_Religion in Classical India: Introduction (5.00)
HARTNELL_ETH 22,HARTNELL_Introduction to Women's Studies (3.00)
GWC_SIGN G185,GWC_American Sign Language 2 (4.00)
SEQUOIAS_PSY 005,SEQUOIAS_Social Psychology (3.00)
CUESTA_BIO 201B,CUESTA_Biology (5.00)
UCB_COMPSCI C8,UCB_Foundations of Data Science (4.00)
TAHOE_ENG 208A,TAHOE_Fiction Writing (4.00)
CUESTA_FR 201,CUESTA_French I (5.00)
POSITAS_HIST 8,POSITAS_US History Post-Reconstruction (3.00)
MISSION_ART 049A,MISSION_Painting (3.00)
COMPTON_JAPA 101,COMPTON_Elementary Japanese I (5.00)
CABRILLO_SOC 10,CABRILLO_Popular Culture (3.00)
CRC_SPAN 412,CRC_Intermediate Spanish (4.00)
MESA_ENGE 250,MESA_Dynamics (3.00)
IRVINE_HUM 4,IRVINE_The Culture of the Modern World: 1700 to the Present (3.00)
UCD_CLA 001,UCD_Ancient Near East & Early Greece: 3000-500 B.C.E. (4.00)
LACC_CINEMA 501,LACC_Media Aesthetics and Design for Film and Digital Media (3.00)
CLOVIS_MATH 6,CLOVIS_Math Analysis III (5.00)
OCC_BIOL A282,OCC_Molecular Biology (2.00)
SBVC_GEOL 260,SBVC_Introduction to Field Geology (3.00)
LBCC_ANTHR 3,LBCC_Introduction to Archaeology (3.00)
UCSB_JAPAN 5,UCSB_Second-Year Japanese II (5.00)
SDCC_MUSI 109,SDCC_World Music (3.00)
MIRACSTA_ART 206,MIRACSTA_Mixed Media Figure Studies I (3.00)
TAHOE_ART 115,TAHOE_Drawing: Wet Media (4.00)
MCC_STAT 7,MCC_Elementary Statistics (4.00)
MATEO_SOCI 105,MATEO_Social Problems (3.00)
SKYLINE_DANC 130.1,SKYLINE_Jazz Dance I: Lyrical. Pop and Broadway (0.50 - 1.00)
OCC_SOC A185H,OCC_Honors Analysis of Social Problems (3.00)
MESA_PSYC 245,MESA_Abnormal Psychology (3.00)
CONTRA_ART 258,CONTRA_Digital Photography 2 (3.00)
CUYAMACA_HIST 131,CUYAMACA_U.S. History and Cultures: Native American Perspectives II (3.00)
CLOVIS_SOC 32,CLOVIS_Courtship. Marriage. and Divorce: Family and Interpersonal Relationships (3.00)
VVCC_MATH 120H,VVCC_Honors Introduction to Statistics (4.00)
GLENDALE_ARTH 119,GLENDALE_Contemporary Art (3.00)
OXNARD_PSY R103,OXNARD_Beginning Statistics for Behavorial Science (3.00)
MERCED_COMM -30,MERCED_Introduction to Intercultural Communication (3.00)
UCM_BIOE 060,UCM_Signals. Systems and Digital Imaging Processing (4.00)
MERCED_ENGR -15,MERCED_Elementary Mechanics (Statics) (3.00)
FOOTHILL_JAPN 4,FOOTHILL_Intermediate Japanese I (5.00)
SCC_PSYC 316,SCC_Cognitive Psychology (3.00)
SCC_PHIL 325,SCC_Symbolic Logic (3.00)
SFCITY_ART 132D,SFCITY_Special Projects in Figure Drawing (3.00)
LAWC_ART 302,LAWC_Watercolor Painting II (3.00)
GMCC_ETHN 137,GMCC_American Indian Culture and Heritage (3.00)
CANADA_DANC 150.3,CANADA_Hip Hop III (1.00)
LANEY_LABST 10,LANEY_American Labor Movement (3.00)
POSITAS_CS 1,POSITAS_Computing Fundamentals I (4.00)
MATEO_PHYS 100,MATEO_Conceptual Physics (3.00)
CANYONS_THEATR 161,CANYONS_Musical Theatre Techniques (2.00)
FOOTHILL_ART 45C,FOOTHILL_Advanced Ceramics (4.00)
WVC_ANTH 003H,WVC_Honors Introduction to Cultural Anthropology (3.00)
DIABLO_ARTHS 191,DIABLO_Critical Thinking in Visual Studies (3.00)
COASTLIN_SPAN C180A,COASTLIN_Elementary Spanish 1A (2.50)
CERRITOS_ART 109,CERRITOS_Gender and Sexuality in Art (3.00)
SJDELTA_HIST 37,SJDELTA_California History (3.00)
OHLONE_PHYS 121A,OHLONE_Introduction to Physics II - Calculus Supplement (1.00)
FRESNO_CLS 11,FRESNO_Introduction to Chicano - Latino Studies (3.00)
CUYAMACA_ART 233,CUYAMACA_Figure Drawing IV (3.00)
MTSAC_ANTH 22,MTSAC_General Cultural Anthropology (3.00)
SFCITY_IDST 37,SFCITY_Introduction to Ethnic Studies (3.00)
MARIN_FILM 109A,MARIN_History of Cinema: Beginning to World War II (4.00)
UCD_ECS 015,UCD_Introduction to Computers (4.00)
FULLRTON_HIST 110 F,FULLRTON_Western Civilizations to 1550 (3.00)
OXNARD_GEOG R101L,OXNARD_Physical Geography Laboratory (1.00)
SCC_ENGLT 328,SCC_Literature and The Environment (3.00)
CITRUS_SOC 201,CITRUS_Introduction to Sociology (3.00)
POSITAS_MATH 39,POSITAS_Trigonometry (4.00)
RCC_FTV 41,RCC_Introduction to Telecommunications (3.00)
SBCC_TA 108,SBCC_Development of Drama: Restoration to Contemporary (3.00)
UCLA_RELIGN M50,UCLA_Origins of Judaism. Christianity. and Islam (5.00)
SBCC_ART 132,SBCC_Fundamentals of Painting (3.00)
ARC_ARTH 334,ARC_International Contemporary Art (3.00)
CHAFFEY_CHEM 10,CHAFFEY_Introductory Chemistry (4.00)
VISTA_ENGL 71A,VISTA_Introduction to Fiction Writing (3.00)
AVC_CIS 177,AVC_Introduction to Python Programming (3.00)
MENDOCIN_DAM 250,MENDOCIN_Introduction to Video Production (3.00)
MTSAC_SOC 40,MTSAC_Introduction to Sex and Gender Roles (3.00)
IRVINE_BIO 1L,IRVINE_The Life Sciences Laboratory (1.00)
MATEO_ART 101,MATEO_Art and Architecture from the Ancient World to Medieval Times. (c. 1400) (3.00)
VVCC_MUSC 116,VVCC_Music in America (3.00)
CAMINO_COMP SCI 8,CAMINO_Foundations of Data Science (4.00)
HARTNELL_ENG 48,HARTNELL_Introduction to Children's Literature (3.00)
SWSTRN_MATH 120,SWSTRN_Calculus for Business Analysis (4.00)
FULLRTON_MUS 118 F,FULLRTON_Introduction to Opera (3.00)
ARC_ANTH 341,ARC_Introduction to Linguistics (3.00)
MOORPARK_PSY M02,MOORPARK_Introduction to Behavioral Neuroscience (3.00)
UCB_S ASIAN 1A,UCB_Introduction to the Civilization of Early India (4.00)
RIOHONDO_THTR 171,RIOHONDO_Musical Theatre Rehearsal and Performance (3.00)
POSITAS_ARTS 2B,POSITAS_Drawing and Composition (3.00)
COASTLIN_ENGL C296,COASTLIN_Gothic Victorian Literature (3.00)
DIABLO_ENGL 175,DIABLO_Science Fiction and Fantasy Literature (3.00)
BAKERFLD_ENGL B28,BAKERFLD_Classical Mythology (3.00)
COASTLIN_PSCI C180,COASTLIN_American Government (3.00)
CUYAMACA_GD 105,CUYAMACA_Fundamentals of Digital Media (3.00)
RCC_THE 56,RCC_Beginning Musical Theatre II (3.00)
CANADA_SPAN 152,CANADA_Spanish for Heritage Speakers II (4.00)
IMPERIAL_PSY 214,IMPERIAL_Statistical Methods in Behavioral Sciences (4.00)
LAEC_PHYSICS 022,LAEC_General Physics II with Calculus (4.00)
DAC_ELIT 12,DAC_Introduction to Dramatic Literature (4.00)
MTSAC_ARCH 102,MTSAC_Design II - Architectural Design (4.00)
CLOVIS_HIST 32,CLOVIS_History of the Mexican American People (3.00)
LAEC_PHYSICS 103,LAEC_Physics for Engineers and Scientists III (5.00)
MESA_GEOG 101,MESA_Physical Geography (3.00)
FRESNO_ART 15,FRESNO_Ceramic Sculpture (3.00)
YUBA_PSYCH 6,YUBA_Introduction to Statistics in Social and Behavioral Science (4.00)
MOORPARK_THA M03B,MOORPARK_Voice and Diction II (3.00)
NAPA_ACCT 125,NAPA_Financial Accounting (5.00)
RIOHONDO_DANC 251,RIOHONDO_Modern Dance II (1.00)
MODESTO_ENGL 151,MODESTO_Folklore (3.00)
NAPA_SPAN 240,NAPA_Intermediate Spanish I (5.00)
BAKERFLD_ART B14,BAKERFLD_Sculpture II (3.00)
LAEC_MATH 245,LAEC_College Algebra (3.00)
UCD_ANT 015,UCD_From Birth to Death: The Evolution of the Human Life Cycle (5.00)
AHC_ENGL 145,AHC_British Literature to 1800 (3.00)
LANEY_ARCH 10,LANEY_Introduction to Design Professions and Architectural Administration (2.00)
MENDOCIN_ART 234A,MENDOCIN_Beginning Etching (3.00)
WVC_JPNS 001A,WVC_Beginning Japanese (5.00)
MIRACSTA_PHYS 112H,MIRACSTA_Introductory Physics II (Honors) (4.00)
MTSJC_BADM- 103,MTSJC_Introduction to Business (3.00)
SFCITY_FREN 1B,SFCITY_Elementary French (3.00)
MATEO_PHIL 244,MATEO_Introduction to Ethics: Contemporary Social and Moral Issues (3.00)
MONTEREY_POLS 7,MONTEREY_Introduction to Political Science Research Methods (3.00)
SRC_SPAN 4,SRC_Intermediate Spanish - Part 2 (4.00)
MISSION_BIO 004,MISSION_Microbiology (5.00)
MARIN_GEOL 103,MARIN_Environmental Geology (3.00)
SBVC_BIOL 104,SBVC_Human Ecology (3.00)
UCM_ENG 049,UCM_Introductory Topics in Literature (4.00)
